id	lemma	sense_id	left	word	right	senses
1	акция	1	7 % . вместе с то , на мировой рынок находиться и группа компания , чей	акция	пойти вверх . прежде все это относиться к такой крупный производитель лекарство и	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
2	акция	1	в егрюл только 5 октябрь 2012 год , а госрегистрация отчет о выпуск	акция	датировать 7 декабрь 2012 год . допэмиссия акция завершать в начало сентябрь 2013	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
3	акция	1	. особенно чувствительный быть падение за последний неделя , когда на московский биржа обыкновенный	акция	банк проседать более чем в два раз по сравнение с динамика индекс	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
4	акция	1	". оао "" росспиртпром "" ( быть фгуп ) создавать в январь 2009 год . государство принадлежать 100 %"	акция	"оао , уставной капитал составлять 9,02 миллиард рубль . также в капитал "" росспиртпром """	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
5	акция	1	в инструмент для спекуляция . бумага сбербанк же выступать абсорбенвать деньги от продажа	акция	"компания другой сектор "" , -- полагать м. шеин . "" на рынок , как я казаться , начинаться"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
6	акция	1	. впрочем , один вполне конкретный реакция на этот заявление быть : за несколько день	акция	""" иркутскэнерго "" дорожать на 70 % . не исключать , что от этот идея отказываться под"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
7	акция	1	"слово представитель министерство , "" планировать , что государство в создаваемый сп быть владеть 51 %"	акция	", dujetikana -- 24 % , lietuvos dujos -- 23 % "" . остальной доля быть распределить среди мелкий акционер"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
8	акция	1	"новый регион "" : они вместе контролировать актив на украина . белковский : да . "" новый регион "" :"	акция	"областной энергетический компания и сеть отель украина , в число который отель "" премьер"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
9	акция	1	"миллиард долловек "" , -- отмечать в финансовый отчет "" газпром "" по мсфо за первый квартал ."	акция	"компания скупать в интерес свой нефтяной "" дочка "" . в пресс-служба "" газпром нефть "" пояснять"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
10	акция	1	-- 106,7 миллиард рубль . уставной капитал компания состоять из 124,8 миллион	акция	". контрольный пакет ( 54,42 % ) через dixy holding limited принадлежать группа "" меркурий "" игорь"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
11	акция	1	гэс - более 9 гвть . федеральный агентство по управление государственный имущество принадлежать 40 %	акция	"оао "" иркутскэнерго "" , 50,19 % акция находиться в собственность частный энергокомпания "" евросибэнерго "" ( принадлежать"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
12	акция	2	область проходить уже в второй раз , но в этот год официальный старт	акция	"давать глава регион олег бетин на митинг , посвящать праздник весна и труд "" , -"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
13	акция	1	") , а также инвестиционный банк "" открытие "" ( на 100 % принадлежать фк ) . "" размер пакет"	акция	асв в объединять банк составлять около 17 % при оценочный подход к определение	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
14	акция	1	"состав группа "" балтика "" . последний планировать переводить на единый акция свой дочерний компания ,"	акция	который котироваться в rts board . конвертация быть планировать на 28 декабрь . однако	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
15	акция	1	мочь получать около 81 миллион доллар . нельзя исключать , что сделка по продажа	акция	офшор быть проводить deutsche bank также и с цель налоговый оптимизация , но	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
16	акция	1	40 миллиард долловек в течение последний два год . с начало год они	акция	дорожать в среднее на 36 % и , как полагать аналитик , коррекция они не	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
17	акция	1	"кубок франция против "" сошо "" , который выводить "" монако "" в полуфинал турнир , немного повышать"	акция	форвард . но чтобы убеждать руководство княжеский клуб выкупать он контракт в цска	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
